Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Small HTML/parse,7.838042888345458e-6,7.722569141705969e-6,7.978865694206215e-6,3.745114083781605e-7,2.841129423965956e-7,5.086187849183067e-7
Small HTML/encode,3.4588873064595064e-6,3.409782599423489e-6,3.5411532051656513e-6,1.8066429648265205e-7,1.134686650019117e-7,2.5718595265540564e-7
Medium HTML/parse,5.810504108541403e-4,5.763505208356565e-4,5.857889086642167e-4,1.4606776840910307e-5,1.2402600310007286e-5,1.79321962409196e-5
Medium HTML/encode,2.333710561277802e-4,2.3037169867599688e-4,2.3608405552301282e-4,8.298130126318367e-6,7.515480085332659e-6,9.784931533117777e-6
Real HTML/parse,4.7999540122079114e-5,4.763057813566783e-5,4.858611902540646e-5,1.3584913391495473e-6,9.458379198849863e-7,1.9451946402763357e-6
Real HTML/encode,9.635473864854133e-6,9.437617672311808e-6,9.914077832600579e-6,7.050864135071367e-7,5.028205133365822e-7,8.731756083487032e-7
