Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Small HTML/parse,8.111343364409619e-6,7.977330844700208e-6,8.314216091640686e-6,5.807720906201627e-7,3.894994407706439e-7,8.501608937972609e-7
Small HTML/encode,4.094894647005104e-6,3.883798973871726e-6,4.592760575166608e-6,1.066892660042002e-6,4.687124395125164e-7,1.949774254387951e-6
Medium HTML/parse,6.033122481149303e-4,5.961560838843243e-4,6.17477889551469e-4,3.26138447463503e-5,1.923065370481463e-5,6.176667296754457e-5
Medium HTML/encode,2.363483621663024e-4,2.318139018610784e-4,2.490483724988555e-4,2.1752354932747927e-5,1.0724004783514828e-5,4.113304023210346e-5
Real HTML/parse,4.8639965710289574e-5,4.791911080086053e-5,4.995725509581574e-5,3.1998595432348343e-6,2.194104588769443e-6,5.3287153065422465e-6
Real HTML/encode,9.448287729691832e-6,9.284481968443738e-6,1.020074299787242e-5,1.0100397580487195e-6,1.9762394064205483e-7,2.3063031634607097e-6
