Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Small HTML/parse,9.32040399793722e-6,9.112510102424132e-6,9.54808827071591e-6,7.260741594318182e-7,6.0551156075502e-7,9.337397869796707e-7
Small HTML/encode,4.847232206295041e-6,4.650663747977848e-6,5.076243745636296e-6,7.021199052393522e-7,5.567642585167271e-7,8.895782230565132e-7
Medium HTML/parse,8.574803171549876e-4,8.007656143539632e-4,9.926912766165133e-4,2.864307824014458e-4,1.470777958466683e-4,5.359944607098027e-4
Medium HTML/encode,3.140468561226699e-4,2.937132155226829e-4,3.6639791702484947e-4,9.519024752291563e-5,3.655625153485867e-5,1.7615179233690828e-4
Real HTML/parse,3.6952504896167695e-5,3.354187008432606e-5,4.769540216495824e-5,1.7832433502800407e-5,6.790365495060982e-6,3.515219881450088e-5
Real HTML/encode,1.1537971409994117e-5,1.1075409223804362e-5,1.2148690203177277e-5,1.8582282735260032e-6,1.4515899559402852e-6,2.5291054003672876e-6
