Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Small HTML/parse,1.371796741274955e-5,1.2366935513907572e-5,1.599686552832556e-5,5.3655692238048e-6,3.7821521506991946e-6,8.65183096508961e-6
Small HTML/encode,7.593872188439751e-6,6.734041700595419e-6,9.17255652759649e-6,3.919844791475907e-6,2.460395137737557e-6,6.048625956086957e-6
Medium HTML/parse,8.209617978211519e-4,7.395414947545597e-4,1.015666908882453e-3,4.443341421678663e-4,2.3748999572611556e-4,8.106341912901972e-4
Medium HTML/encode,2.2855455037232923e-4,2.278318083758073e-4,2.294282880721586e-4,2.723789585648329e-6,1.9415853528731614e-6,4.077316695569308e-6
Real HTML/parse,2.5417223853530124e-5,2.4869387825662588e-5,2.7644938721898236e-5,3.3006071038915825e-6,7.491344339783773e-7,6.88467678407695e-6
Real HTML/encode,9.599410350699613e-6,9.335948254190686e-6,1.0217481269755668e-5,1.291492528614931e-6,6.472850130132139e-7,2.26422003222938e-6
