Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Small HTML/parse,1.2088687251631057e-5,1.1518111273187132e-5,1.2908109581426328e-5,2.3794796359739043e-6,1.8710985099994887e-6,3.4302149597843325e-6
Small HTML/encode,5.205773382077784e-6,4.754159237194694e-6,5.996064482420756e-6,2.036436279954822e-6,9.504980863592124e-7,3.333782027696788e-6
Medium HTML/parse,1.0894389628016991e-3,1.0077404713834885e-3,1.3096036447981106e-3,4.0878140381790944e-4,2.4086224064074396e-4,7.207540941536024e-4
Medium HTML/encode,3.291536288860979e-4,3.070568728270698e-4,3.6298247295776326e-4,8.371836056365788e-5,6.2527200114175e-5,1.225467846639336e-4
Real HTML/parse,5.446428784604442e-5,4.7077139521051386e-5,7.125929620365022e-5,3.7696882051606233e-5,1.9787603799634567e-5,6.816733001597605e-5
Real HTML/encode,1.5983466850361618e-5,1.4599960246436604e-5,1.9335076251423267e-5,6.48236470445248e-6,3.426767468845891e-6,1.1774881513828286e-5
