Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Small HTML/parse,1.394117859833658e-5,1.288019458472493e-5,1.544850049391865e-5,4.840617372587247e-6,3.843021060231384e-6,6.360351532609166e-6
Small HTML/encode,6.3217696988053015e-6,5.9664506841446646e-6,6.971233534752918e-6,1.6194108239874792e-6,1.1894942781508504e-6,2.469559170793923e-6
Medium HTML/parse,1.1469773979189911e-3,1.0809955896892945e-3,1.2190240639443773e-3,2.52618487649293e-4,2.1917833013656145e-4,3.004807539471575e-4
Medium HTML/encode,3.720215251778778e-4,3.5797196343168134e-4,3.9971978767289727e-4,6.291033039351142e-5,3.8540853448020975e-5,1.1454749458097031e-4
Real HTML/parse,6.886329899326754e-5,6.617853315827013e-5,7.274905849940029e-5,1.0716712993268015e-5,8.532301243193943e-6,1.3564333726433769e-5
Real HTML/encode,1.6607103492032573e-5,1.4937274860039615e-5,2.21855286746508e-5,9.690003466258712e-6,4.1310420603485545e-6,1.9119279585813205e-5
