Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Small HTML/parse,1.3095449134637563e-5,1.2215577895424528e-5,1.4143737081168914e-5,3.240835561915007e-6,2.7190251578478984e-6,4.303757706212875e-6
Small HTML/encode,5.071959906296248e-6,4.851483101356001e-6,5.3987193713428626e-6,8.573700608511559e-7,6.330109486595727e-7,1.2378630799634638e-6
Medium HTML/parse,1.1548174950783458e-3,1.0748842082812526e-3,1.2460558573125194e-3,2.7144753660479854e-4,2.1782412582307064e-4,3.2825652743896335e-4
Medium HTML/encode,3.1207488377222177e-4,2.936337370145288e-4,3.400823509631878e-4,7.37606718943855e-5,5.609349149769542e-5,9.7992719290168e-5
Real HTML/parse,4.081333401868627e-5,3.793292223849361e-5,4.4824398408890856e-5,1.0061726227777297e-5,7.608776704725849e-6,1.3356624914519897e-5
Real HTML/encode,1.5747792486297007e-5,1.4682420111430345e-5,1.6926859172968543e-5,3.765708338956591e-6,2.989284586470711e-6,4.8379756386440636e-6
