Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
streams-runtime/passthrough/1000,7.802396672663548e-4,7.587359075612634e-4,8.069037476215937e-4,5.148047465006363e-5,3.284144204806921e-5,7.169997213314145e-5
streams-runtime/passthrough/10000,1.0364114688503744e-2,1.0098652284171701e-2,1.053274177042331e-2,4.121678090726918e-4,2.6807057976165516e-4,5.414893978013473e-4
streams-runtime/filter-map/1000,9.427850254510905e-4,9.206238846410541e-4,9.736837550745151e-4,5.937302385485462e-5,4.404457794118548e-5,8.477003040605565e-5
streams-runtime/count/1000,8.722865023500743e-4,8.577215352886088e-4,8.928814095192908e-4,3.95563496113187e-5,2.4812438389509877e-5,7.347689240145818e-5
streams-runtime/window-count/1000,1.286649296761018e-3,1.2696135275631919e-3,1.3126120108430002e-3,4.744652845926045e-5,2.8440567852790884e-5,6.726919573917966e-5
